StreetName,Suburb,LATITUDE,LONGITUDE
Epsom Road,Kensington,-37.79291438,144.9266833
Epsom Road,Kensington,-37.79286047,144.9266313
Epsom Road,Kensington,-37.79280655,144.9265794
Epsom Road,Kensington,-37.79275263,144.9265274
Scotia Street,North Melbourne,-37.80150854,144.9492104
Stawell Street,North Melbourne,-37.80278047,144.9428298
Stawell Street,North Melbourne,-37.80274031,144.9428372
Stawell Street,North Melbourne,-37.80270224,144.9428441
Stawell Street,North Melbourne,-37.80266417,144.9428511
Stawell Street,North Melbourne,-37.8026261,144.9428581
Stawell Street,North Melbourne,-37.80258802,144.9428651
Stawell Street,North Melbourne,-37.80254995,144.9428721
Stawell Street,North Melbourne,-37.80251188,144.942879
Stawell Street,North Melbourne,-37.80247204,144.9428863
Munster Terrace,North Melbourne,-37.80275173,144.9425435
Munster Terrace,North Melbourne,-37.80271178,144.9425508
Munster Terrace,North Melbourne,-37.80267343,144.9425577
Munster Terrace,North Melbourne,-37.80263508,144.9425647
Bakehouse Road,Kensington,-37.79948556,144.9296841
Bakehouse Road,Kensington,-37.79949689,144.9297379
Bakehouse Road,Kensington,-37.79953151,144.9299021
Bakehouse Road,Kensington,-37.79945273,144.9295283
Bouverie Street,Carlton,-37.80215214,144.9620025
Bouverie Street,Carlton,-37.80209274,144.9620128
Bouverie Street,Carlton,-37.80203334,144.9620232
Bouverie Street,Carlton,-37.80197394,144.9620336
Bouverie Street,Carlton,-37.80192708,144.9620418
Bouverie Street,Carlton,-37.80188748,144.9620487
Bouverie Street,Carlton,-37.80184259,144.9620565
Bouverie Street,Carlton,-37.8017978,144.9620644
Bouverie Street,Carlton,-37.80175312,144.9620722
Bouverie Street,Carlton,-37.80170843,144.96208
Pelham Street,Carlton,-37.80210897,144.9613208
Pelham Street,Carlton,-37.80210445,144.9612789
Pelham Street,Carlton,-37.80209993,144.9612369
Pelham Street,Carlton,-37.80209526,144.9611936
Pelham Street,Carlton,-37.80209044,144.9611488
Pelham Street,Carlton,-37.80208562,144.9611041
Pelham Street,Carlton,-37.8020808,144.9610594
Pelham Street,Carlton,-37.80207598,144.9610146
Pelham Street,Carlton,-37.80207116,144.9609699
Pelham Street,Carlton,-37.80206635,144.9609251
Pelham Street,Carlton,-37.80206153,144.9608804
Leicester Street,Carlton,-37.80202681,144.9608641
Leicester Street,Carlton,-37.8019622,144.9608762
Leicester Street,Carlton,-37.80189758,144.9608884
Collins Street,Melbourne,-37.81380059,144.9728035
Collins Street,Melbourne,-37.81381824,144.9727436
Collins Street,Melbourne,-37.8138359,144.9726836
Collins Street,Melbourne,-37.81385356,144.9726236
Collins Street,Melbourne,-37.81387122,144.9725637
Collins Street,Melbourne,-37.81388888,144.9725037
Collins Street,Melbourne,-37.81390653,144.9724437
Collins Street,Melbourne,-37.81392419,144.9723837
Collins Street,Melbourne,-37.81394185,144.9723238
Collins Street,Melbourne,-37.81395951,144.9722638
Collins Street,Melbourne,-37.81397716,144.9722038
Collins Street,Melbourne,-37.81399482,144.9721439
Collins Street,Melbourne,-37.81401248,144.9720839
Collins Street,Melbourne,-37.81403014,144.9720239
Collins Street,Melbourne,-37.81404779,144.9719639
Collins Street,Melbourne,-37.81345904,144.9729642
Collins Street,Melbourne,-37.81347964,144.972894
Collins Street,Melbourne,-37.81350064,144.9728224
Collins Street,Melbourne,-37.81352202,144.9727496
Collins Street,Melbourne,-37.8135434,144.9726767
Collins Street,Melbourne,-37.81356459,144.9726045
Collins Street,Melbourne,-37.81358557,144.9725329
Collins Street,Melbourne,-37.81360656,144.9724614
Collins Street,Melbourne,-37.81362491,144.9723989
Collins Street,Melbourne,-37.81364061,144.9723454
Collins Street,Melbourne,-37.81365631,144.9722919
Collins Street,Melbourne,-37.81367201,144.9722384
Collins Street,Melbourne,-37.81368771,144.9721849
Collins Street,Melbourne,-37.81370341,144.9721313
Collins Street,Melbourne,-37.81371911,144.9720778
Collins Street,Melbourne,-37.81717815,144.9612458
Collins Street,Melbourne,-37.81719655,144.961182
Collins Street,Melbourne,-37.81722036,144.9610995
Collins Street,Melbourne,-37.81723878,144.9610358
Collins Street,Melbourne,-37.81725179,144.9609907
Collins Street,Melbourne,-37.81726433,144.9609472
Collins Street,Melbourne,-37.81727641,144.9609054
Collins Street,Melbourne,-37.81728848,144.9608636
Collins Street,Melbourne,-37.8173013,144.9608192
Collins Street,Melbourne,-37.81731486,144.9607722
Collins Street,Melbourne,-37.81732967,144.9607209
Collins Street,Melbourne,-37.81734574,144.9606652
Collins Street,Melbourne,-37.81736182,144.9606095
Collins Street,Melbourne,-37.81737789,144.9605538
Bourke Street,Melbourne,-37.81317861,144.9673316
Bourke Street,Melbourne,-37.81319225,144.9672853
Bourke Street,Melbourne,-37.81320588,144.9672389
Bourke Street,Melbourne,-37.81321952,144.9671926
Bourke Street,Melbourne,-37.81273247,144.9678545
Bourke Street,Melbourne,-37.8127473,144.9678042
Bourke Street,Melbourne,-37.81276196,144.9677545
Bourke Street,Melbourne,-37.81277645,144.9677053
Bourke Street,Melbourne,-37.81279093,144.9676562
Bourke Street,Melbourne,-37.81280546,144.967607
Bourke Street,Melbourne,-37.81282004,144.9675575
Bourke Street,Melbourne,-37.81283431,144.9675091
Bourke Street,Melbourne,-37.81284826,144.9674618
Bourke Street,Melbourne,-37.81286221,144.9674145
Bourke Street,Melbourne,-37.81287617,144.9673672
Bourke Street,Melbourne,-37.81312018,144.9665397
Bourke Street,Melbourne,-37.81313485,144.96649
Bourke Street,Melbourne,-37.81314951,144.9664403
Bourke Street,Melbourne,-37.81316418,144.9663905
Bourke Street,Melbourne,-37.81317884,144.9663408
Bourke Street,Melbourne,-37.81319351,144.9662911
Bourke Street,Melbourne,-37.81320817,144.9662413
Bourke Street,Melbourne,-37.81322284,144.9661916
Bourke Street,Melbourne,-37.81323809,144.9661399
Bourke Street,Melbourne,-37.81325394,144.9660861
Bourke Street,Melbourne,-37.81326978,144.9660324
Bourke Street,Melbourne,-37.81328563,144.9659787
Bourke Street,Melbourne,-37.81330148,144.9659249
Bourke Street,Melbourne,-37.81331732,144.9658712
Bourke Street,Melbourne,-37.81273465,144.9688327
Bourke Street,Melbourne,-37.81274635,144.9687931
Bourke Street,Melbourne,-37.81275806,144.9687535
Bourke Street,Melbourne,-37.81276976,144.9687139
Bourke Street,Melbourne,-37.81278146,144.9686742
Bourke Street,Melbourne,-37.81279317,144.9686346
Bourke Street,Melbourne,-37.81281038,144.9685764
Bourke Street,Melbourne,-37.81283011,144.9685096
Bourke Street,Melbourne,-37.81284938,144.9684444
Little Lonsdale Street,Melbourne,-37.81076246,144.9638112
Little Lonsdale Street,Melbourne,-37.8107852,144.9637341
Little Lonsdale Street,Melbourne,-37.81080176,144.963678
Sardine Street,Port Melbourne,-37.83149468,144.9024029
Sardine Street,Port Melbourne,-37.8315324,144.9024695
Melrose Street,North Melbourne,-37.79483609,144.9416443
Melrose Street,North Melbourne,-37.79479073,144.9416523
Melrose Street,North Melbourne,-37.79474537,144.9416604
Melrose Street,North Melbourne,-37.79470002,144.9416684
Melrose Street,North Melbourne,-37.79463967,144.9416791
Melrose Street,North Melbourne,-37.7945798,144.9416898
Melrose Street,North Melbourne,-37.79451477,144.9417013
Melrose Street,North Melbourne,-37.79444974,144.9417129
Melrose Street,North Melbourne,-37.79438471,144.9417244
Melrose Street,North Melbourne,-37.79431968,144.941736
Melrose Street,North Melbourne,-37.79423244,144.9417515
Melrose Street,North Melbourne,-37.794123,144.9417709
Melrose Street,North Melbourne,-37.79431037,144.9417376
Lonie Street,North Melbourne,-37.78942614,144.9404289
Lonie Street,North Melbourne,-37.78954594,144.940407
Flemington Road,North Melbourne,-37.78983758,144.9422501
Flemington Road,North Melbourne,-37.78980697,144.9422111
Flemington Road,North Melbourne,-37.78977636,144.9421721
Flemington Road,North Melbourne,-37.78974575,144.9421332
Flemington Road,North Melbourne,-37.78971513,144.9420942
Flemington Road,North Melbourne,-37.78968452,144.9420552
Flemington Road,North Melbourne,-37.78965391,144.9420162
Flemington Road,North Melbourne,-37.7896233,144.9419773
Flemington Road,North Melbourne,-37.78959269,144.9419383
Flemington Road,North Melbourne,-37.78956207,144.9418993
Flemington Road,North Melbourne,-37.78953146,144.9418603
Smithfield Road,Kensington,-37.78855157,144.924245
Smithfield Road,Kensington,-37.78858543,144.9241919
Smithfield Road,Kensington,-37.78861928,144.9241388
Flemington Road,North Melbourne,-37.78889748,144.9410664
Flemington Road,North Melbourne,-37.78886845,144.9410299
Flemington Road,North Melbourne,-37.78883941,144.9409934
Flemington Road,North Melbourne,-37.78879528,144.9409378
Flemington Road,North Melbourne,-37.78873605,144.9408633
Flemington Road,North Melbourne,-37.78867915,144.9407917
Flemington Road,North Melbourne,-37.78862457,144.940723
Flemington Road,North Melbourne,-37.78856451,144.9406475
Flemington Road,North Melbourne,-37.78850995,144.9405788
Flemington Road,North Melbourne,-37.78842365,144.9404702
Little Bourke Street,Melbourne,-37.81230533,144.9661716
Little Bourke Street,Melbourne,-37.81232015,144.9661211
Little Bourke Street,Melbourne,-37.81233496,144.9660706
Little Bourke Street,Melbourne,-37.81234978,144.9660201
Little Bourke Street,Melbourne,-37.81226155,144.9659928
Little Bourke Street,Melbourne,-37.81224901,144.9660355
Little Bourke Street,Melbourne,-37.81223648,144.9660783
Little Bourke Street,Melbourne,-37.81222394,144.966121
Little Bourke Street,Melbourne,-37.81221141,144.9661637
